execution_time,total_num_contours,num_biggest_contours,num_rectangles_before_split,photos_areas,success,picture_name,rm_black_edges,add_white_margin,blur_method,blur_parameters,threshold,threshold_method,threshold_min,threshold_max,split_contours,true_num_pictures,num_contours_after_split,num_points_per_contour,config_num
27/01/2023 20:18:36,217,3,3,"[8494560.0, 8486480.0, 8446403.0]",True,mamie0040.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:18:45,207,2,1,"[17022449.5, 8410916.0]",True,mamie0041.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:18:52,242,3,3,"[8609346.0, 8621967.0, 8488668.5]",True,mamie0042.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:18:59,494,1,1,[8662152.0],True,mamie0043.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,1,1,[4],2
27/01/2023 20:19:03,291,3,2,"[8654829.0, 8444071.0, 8618611.5]",False,mamie0044.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 6, 4]",2
27/01/2023 20:19:10,265,3,3,"[8670540.0, 8641661.5, 8627366.5]",True,mamie0045.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:19:17,4473,2,1,"[8651371.5, 7686717.0]",False,mamie0046.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,2,2,"[4, 9]",2
27/01/2023 20:19:24,23007,2,1,"[10413027.5, 5362264.5]",False,mamie0047.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,2,"[7, 4]",2
27/01/2023 20:19:31,197,2,2,"[17321892.5, 8685946.5]",False,mamie0048.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,2,"[4, 4]",2
27/01/2023 20:19:38,192,3,3,"[8703395.5, 8704081.0, 8702173.5]",True,mamie0049.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:19:46,664,3,2,"[8685496.0, 8642971.0, 8307751.0]",False,mamie0050.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 6]",2
27/01/2023 20:19:52,1426,3,1,"[8646657.5, 8351868.5, 8168680.5]",False,mamie0051.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 11, 11]",2
27/01/2023 20:19:59,1720,3,2,"[8651986.0, 8641689.0, 8293645.0]",False,mamie0052.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 9]",2
27/01/2023 20:20:06,184,3,3,"[8697534.0, 8696352.0, 8683608.0]",True,mamie0053.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:13,968,2,0,"[16865138.5, 8488087.0]",False,mamie0054.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,2,"[10, 7]",2
27/01/2023 20:20:20,233,3,3,"[8490675.0, 8458716.0, 8379440.5]",True,mamie0055.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:27,213,3,3,"[8619306.5, 8421296.5, 8377438.5]",True,mamie0056.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:33,206,3,3,"[8627187.0, 8581335.5, 8505455.5]",True,mamie0057.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:40,223,3,3,"[8650237.5, 8625038.5, 8614178.0]",True,mamie0058.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:46,243,3,3,"[8587044.5, 8508036.0, 8478497.0]",True,mamie0059.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:20:53,500,1,1,[8657793.5],True,mamie0060.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,1,1,[4],2
27/01/2023 20:20:56,205,2,1,"[17323787.5, 8652073.5]",True,mamie0061.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:21:03,229,3,3,"[8610060.0, 8525155.5, 8522542.0]",True,mamie0062.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:21:09,258,3,3,"[8672054.0, 8626565.0, 8451433.5]",True,mamie0063.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:21:15,228,3,3,"[8631600.0, 8499890.5, 8454964.5]",True,mamie0064.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:21:22,212,3,3,"[8488321.5, 8481352.5, 8481237.0]",True,mamie0065.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:21:31,360,3,2,"[8482014.0, 8476961.5, 8308253.0]",False,mamie0066.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 8]",2
27/01/2023 20:21:43,179,3,3,"[8458542.0, 8450940.0, 8219755.5]",True,mamie0067.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:21:53,173,2,1,"[16604840.0, 8484142.5]",False,mamie0068.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[7, 6, 4]",2
27/01/2023 20:22:04,150,3,3,"[8481009.5, 8466583.5, 8466622.5]",True,mamie0069.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:22:14,144,3,3,"[8500562.5, 8482809.0, 8444649.5]",True,mamie0070.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:22:25,124,2,1,"[17041347.0, 8494458.0]",True,mamie0071.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:22:36,146,3,3,"[8509483.5, 8477651.0, 8494440.0]",True,mamie0072.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:22:46,195,3,2,"[8490827.5, 8455831.0, 8306535.0]",False,mamie0073.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 8]",2
27/01/2023 20:22:57,155,3,3,"[8506844.0, 8480883.0, 8481559.5]",True,mamie0074.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:23:08,136,3,3,"[8520117.5, 8493663.5, 8452462.5]",True,mamie0075.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:23:19,107,3,3,"[8511406.5, 8504207.0, 8463408.5]",True,mamie0076.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:23:30,150,3,3,"[8501343.5, 8494972.5, 8470402.0]",True,mamie0077.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:23:40,116,2,1,"[16900797.0, 8480600.0]",True,mamie0078.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:23:51,297,3,2,"[8516757.0, 8471716.0, 8222603.5]",False,mamie0079.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 6]",2
27/01/2023 20:24:03,134,3,3,"[8515477.0, 8500606.0, 8483738.0]",True,mamie0080.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:24:13,220,2,2,"[8530942.0, 8496498.0]",True,mamie0081.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,2,2,"[4, 4]",2
27/01/2023 20:24:21,101,3,3,"[8515068.0, 8508770.0, 8463576.0]",True,mamie0082.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:24:32,118,3,3,"[8469789.5, 8451646.0, 8422324.0]",True,mamie0083.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:24:42,133,3,3,"[7440502.5, 7433550.0, 7406708.0]",True,mamie0084.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:24:52,141,3,3,"[7450525.0, 7434973.0, 7385968.5]",True,mamie0085.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:25:02,156,3,3,"[7449817.5, 7448501.5, 7417781.0]",True,mamie0086.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:25:11,145,3,3,"[7435773.0, 7413975.0, 7389857.0]",True,mamie0087.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
